expression,reading,meaning,tags,guid
好況,こうきょう,"prosperous conditions, healthy economy",JLPT_1 JLPT,w5c/V*0:/6
鉱業,こうぎょう,mining industry,JLPT_1 JLPT,w)+*p6qI~s
興業,こうぎょう,starting a business; industry,JLPT_1 JLPT,qy~me*:#E{
高原,こうげん,"tableland, plateau",JLPT_1 JLPT,GF2Ak`BNv1
交互,こうご,"mutual, reciprocal, alternate",JLPT_1 JLPT,i<WWSGhMtl
煌々と,こうこうと,brightly,JLPT_1 JLPT,wYY;?*yl=I
考古学,こうこがく,archeology,JLPT_1 JLPT,CYD1fRQ8EC
工作,こうさく,"handicraft, maneuvering",JLPT_1 JLPT,wzz*)FRo9<
耕作,こうさく,"cultivation, farming",JLPT_1 JLPT,hB|/|8Uy}2
鉱山,こうざん,mine,JLPT_1 JLPT,"KT!enF:=,%"
講習,こうしゅう,"short course, training",JLPT_1 JLPT,g(z7%o&?^
口述,こうじゅつ,verbal statement,JLPT_1 JLPT,C~8oU(cK0?
控除,こうじょ,"subsidy, deduction",JLPT_1 JLPT,s2uW?Na1t%
交渉,こうしょう,negotiation,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,uv@U[?I@AF
高尚,こうしょう,"high, noble, refined",JLPT_1 JLPT,Ndw<}.:V2o
向上,こうじょう,"rise, improvement, progress",JLPT_1 JLPT,Qcz@t2UD0)
行進,こうしん,"march, parade",JLPT_1 JLPT,A=w}ZE@917
香辛料,こうしんりょう,spices,JLPT_1 JLPT,ce!{r.1}~3
降水,こうすい,"rainfall, precipitation",JLPT_1 JLPT,"pb1#Y263n,"
洪水,こうずい,flood,JLPT_1 JLPT,wakC-uKaq}
合成,ごうせい,"synthetic, mixed",JLPT_1 JLPT,c^4E@A0[92
公然,こうぜん,openly,JLPT_1 JLPT,M(>QOkIhfA
抗争,こうそう,"dispute, resistance",JLPT_1 JLPT,Ayw{S[ULVi
構想,こうそう,"plan, plot, idea, conception",JLPT_1 JLPT,HJ3]TaFI5x
後退,こうたい,"retreat, backspace",JLPT_1 JLPT,Hg(g(Ch73j
光沢,こうたく,"luster, glossy finish (of photographs)",JLPT_1 JLPT,sz+BIfx<J$
公団,こうだん,public corporation,JLPT_1 JLPT,C&5}~^z)ts
好調,こうちょう,"satisfactory, in good shape",JLPT_1 JLPT,fn+k2uN^.*
口頭,こうとう,oral,JLPT_1 JLPT,mWZ1nL&l+A
講読,こうどく,reading,JLPT_1 JLPT,"cbt]L<,==)"
購読,こうどく,subscription,JLPT_1 JLPT,BPBnR~`=Cm
購入,こうにゅう,"purchase, buy",JLPT_1 JLPT,mN.]${Ep@o
公認,こうにん,"official recognition, authorization",JLPT_1 JLPT,f=;(Z+KSn*
光熱費,こうねつひ,cost of fuel and light,JLPT_1 JLPT,CBInEbAiwn
購買,こうばい,"purchase, buy",JLPT_1 JLPT,m|%voYE^yW
好評,こうひょう,"popularity, favorable reputation",JLPT_1 JLPT,PN?X>r5#3$
交付,こうふ,"delivering, furnishing (with copies)",JLPT_1 JLPT,iWHq@iV7/S
公募,こうぼ,"public appeal, public contribution",JLPT_1 JLPT,zuO/%#|pw9
巧妙,こうみょう,"ingenious, skillful, clever",JLPT_1 JLPT,K0cz7g4lOn
公用,こうよう,"government business, public use, public expense",JLPT_1 JLPT,E{n/tl9=Ih
小売,こうり,retail,JLPT_1 JLPT,c_Z6-bZ>!E
効率,こうりつ,efficiency,JLPT_1 JLPT,zkc6-]4~)6
公立,こうりつ,public institution,JLPT_1 JLPT,FUSldz(S$f
護衛,ごえい,"guard, convoy, escort",JLPT_1 JLPT,Bs7a.5p1{r
コーナー,コーナー,corner,JLPT_1 JLPT,n/T(.dj~.j
小柄,こがら,"small, diminutive",JLPT_1 JLPT,p|m2.?zBm2
小切手,こぎって,"cheque, check",JLPT_1 JLPT,vh>Pgi:y!n
国産,こくさん,domestic products,JLPT_1 JLPT,NVGuI`wyWr
国定,こくてい,"state-sponsored, national",JLPT_1 JLPT,K:.NA{MA#
告白,こくはく,"confession, acknowledgment",JLPT_1 JLPT,D/-Yon@zj7
国防,こくぼう,national defense,JLPT_1 JLPT,gB_-ioo>5E
国有,こくゆう,national ownership,JLPT_1 JLPT,qhprC(Et1a
極楽,ごくらく,paradise,JLPT_1 JLPT,MY-u/w:|X`
国連,こくれん,"U.N., United Nations",JLPT_1 JLPT,PWdSCAXCS{
焦げ茶,こげちゃ,dark brown,JLPT_1 JLPT,z#D(l+D|+d
語源,ごげん,"word root, word derivation, etymology",JLPT_1 JLPT,"wW7;mB,H-n"
心地,ここち,"feeling, sensation, mood",JLPT_1 JLPT,HRZ-ZZ((63
心得,こころえ,"knowledge, information",JLPT_1 JLPT,r]B:&#9/Oj
心掛け,こころがけ,"readiness, intention, aim",JLPT_1 JLPT,v|gKw*kSA<
心掛ける,こころがける,"to bear in mind, to aim to do",JLPT_1 JLPT,xF|-#cu_O[
志,こころざし,"will, intention, motive",JLPT_1 JLPT,J^EH*N|S>D
志す,こころざす,"to plan, to intend, to aspire to",JLPT_1 JLPT,zc/071N?*?
心強い,こころづよい,"heartening, reassuring",JLPT_1 JLPT,K>pZg]2z_[
心細い,こころぼそい,"helpless, hopeless, discouraging",JLPT_1 JLPT,ve[sU52iIO
試み,こころみ,"trial, experiment",JLPT_1 JLPT,LnQ-7#~J-i
試みる,こころみる,"to try, to test",JLPT_1 JLPT,qG!ugw]O{9
快い,こころよい,"pleasant, agreeable",JLPT_1 JLPT,eXTY5f2Ubn
誤差,ごさ,error,JLPT_1 JLPT,bE*}iimu/k
ございます (かん),ございます (かん),"to be (polite, to exist)",JLPT_1 JLPT,g2<)LlaRj=
孤児,こじ,orphan,JLPT_1 JLPT,Nru>c@<pc2
こじれる,こじれる,"to get complicated, to grow worse",JLPT_1 JLPT,jQE(/ITykr
こす (みずを～),こす (みずを～),"to strain, to filter",JLPT_1 JLPT,P2WNAwMh[2
梢,こずえ,treetop,JLPT_1 JLPT,"P{..MI,|Mb"
個性,こせい,"individuality, personality, idiosyncrasy",JLPT_1 JLPT,EsL6l#sj?m
戸籍,こせき,"census, family register",JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,JOc{[NV4x8
古代,こだい,ancient times,JLPT_1 JLPT,s_N1oO.lmA
こたつ,こたつ,"table with heater, (originally) charcoal brazier in a floor well",JLPT_1 JLPT,O}EMl{I]K-
こだわる,こだわる,"to fuss over, to be particular about",JLPT_1 JLPT,Dw-&[Gy8N`
誇張,こちょう,exaggeration,JLPT_1 JLPT,c]NsRC|}O%
こつ (をつかむ),こつ (をつかむ),"secret, trick, hang",JLPT_1 JLPT,qPHur}V8b$
滑稽,こっけい,"funny, humorous, comical",JLPT_1 JLPT,v>_m`mFbvz
国交,こっこう,diplomatic relations,JLPT_1 JLPT,d-(zI.D]7}
骨董品,こっとうひん,curio,JLPT_1 JLPT,Dr0mqScf_b
固定,こてい,"fixation, fixing (e.g., salary, capital)",JLPT_1 JLPT,g$6E|N|S:$
事柄,ことがら,"matter, thing, affair, circumstance",JLPT_1 JLPT,F=ad!I0A}O
孤独,こどく,"isolation, loneliness, solitude",JLPT_1 JLPT,"cT&=x,mI2c"
ことごとく,ことごとく,"altogether, entirely",JLPT_1 JLPT,dR[Sxf+^Ps
言付け,ことづけ,to leave a message,JLPT_1 JLPT,kU+Y{Q}2@W
殊に,ことに,"especially, above all",JLPT_1 JLPT,en/8|n9S0h
粉々,こなごな,in very small pieces,JLPT_1 JLPT,Kmg$=%neFc
好ましい,このましい,"nice, likable, desirable",JLPT_1 JLPT,x#LKH<P4pQ
碁盤,ごばん,Go board,JLPT_1 JLPT,zlA@Kkn)Y
個別,こべつ,particular case,JLPT_1 JLPT,IS>`l#g_rF
ごまかす,ごまかす,"to deceive, to falsify, to misrepresent",JLPT_1 JLPT,p$tB:Q(vZY
細やか,こまやか,"meager, modest",JLPT_1 JLPT,w6sGv9Z]7>
コマーシャル,コマーシャル,a commercial,JLPT_1 JLPT,pmxm=&|P?L
込める,こめる,"to include, to put into",JLPT_1 JLPT,FCbb2pT+SZ
コメント,コメント,comment,JLPT_1 JLPT,cplDpvT[1o
籠もる,こもる,"to seclude oneself, to be confined in",JLPT_1 JLPT,KBSxgcpn$F
固有,こゆう,"characteristic, tradition, peculiar",JLPT_1 JLPT,yXV:}D_ozd
暦,こよみ,"calendar, almanac",JLPT_1 JLPT,jx:{}3HoK:
凝らす,こらす,"to concentrate, to devote, to peer into",JLPT_1 JLPT,oJEMYEm^we
ごらんなさい (かん),ごらんなさい (かん),"look, (please) try to do",JLPT_1 JLPT,N1BBvCZ=AZ
孤立,こりつ,"isolation, helplessness",JLPT_1 JLPT,xYDSYkNe4i
懲りる,こりる,"to learn by experience, to be disgusted with",JLPT_1 JLPT,vbJg<?=y%j
凝る,こる,"to stiffen, to harden",JLPT_1 JLPT,p)T=z%i7F[
根気,こんき,"patience; perseverance, energy",JLPT_1 JLPT,GDCM!r*##2
根拠,こんきょ,"basis, foundation",JLPT_1 JLPT,Grg-T-@C<M
混血,こんけつ,"mixed race, mixed parentage",JLPT_1 JLPT,saDmLPZfe~
コンタクト (レンズ),コンタクト (レンズ),contact; contact lens,JLPT_1 JLPT,DU{l0`Yee%
昆虫,こんちゅう,"insect, bug",JLPT_1 JLPT,P^F+-mx?ec
根底,こんてい,"root, basis, foundation",JLPT_1 JLPT,g6v%#_YbHK
混同,こんどう,"confusion, mixing, merger",JLPT_1 JLPT,"M?|],Xch]L"
コントラスト,コントラスト,contrast,JLPT_1 JLPT,m2RkdF5Kfg
コントロール,コントロール,control,JLPT_1 JLPT,hZ|i&d%@k8
コンパス,コンパス,compass,JLPT_1 JLPT,L6kv/h{mWx
根本,こんぽん,"foundation, root, base",JLPT_1 JLPT,I>Va~AQW*%
財,ざい,"fortune, riches",JLPT_1 JLPT,Lg^]^#Fui$
再会,さいかい,"meeting again, reunion",JLPT_1 JLPT,nK{EZH)j58
災害,さいがい,"calamity, disaster, misfortune",JLPT_1 JLPT,s/:E%{jbbX
細菌,さいきん,"bacillus, bacterium, germ",JLPT_1 JLPT,I!s+/_djx3
細工,さいく,"work, craftsmanship, trick",JLPT_1 JLPT,ouX.|>$33M
採掘,さいくつ,mining,JLPT_1 JLPT,Qb&n#ag5.U
サイクル,サイクル,cycle,JLPT_1 JLPT,CwR.:*^K)]
採決,さいけつ,"vote, roll call",JLPT_1 JLPT,dGyNtnPzfu
再建,さいけん,(temple or shrine) rebuilding,JLPT_1 JLPT,oY^(hGDwBB
再現,さいげん,"reproduction, return, revival",JLPT_1 JLPT,j$Iu*3{(HU
財源,ざいげん,"source of funds, resources, finances",JLPT_1 JLPT,gD`:Vm3DD=
在庫,ざいこ,"stockpile, stock",JLPT_1 JLPT,I`6&P}MLhB
採算,さいさん,profit,JLPT_1 JLPT,z3sqnTBL(n
サイズ,サイズ,size,JLPT_1 JLPT,J0]k_!eDR<
再生,さいせい,"playback, regeneration, resuscitation",JLPT_1 JLPT,hGl1Th{bx@
財政,ざいせい,"economy, financial affairs",JLPT_1 JLPT,PbUztxpH:]
最善,さいぜん,the very best,JLPT_1 JLPT,M-1H]L<~pq
採択,さいたく,"adoption, selection, choice",JLPT_1 JLPT,e+cLZEXhDr
栽培,さいばい,cultivation,JLPT_1 JLPT,uC68c<~cH)
再発,さいはつ,"return, relapse, reoccurrence",JLPT_1 JLPT,CS^Rshk:|8
細胞,さいぼう,cell,JLPT_1 JLPT,CzyHns{dm!
採用,さいよう,"use, adopt",JLPT_1 JLPT,"vMLF5(iO,d"
遮る,さえぎる,"to interrupt, to intercept, to obstruct",JLPT_1 JLPT,QMaal]q?M$
さえずる,さえずる,"to sing, to chirp, to twitter",JLPT_1 JLPT,r@Q>;L$}V-
冴える,さえる,"to be clear, to be bright, to be skillful",JLPT_1 JLPT,F_K.fXalP!
竿,さお,"rod, pole (e.g., for drying laundry)",JLPT_1 JLPT,v^.R1:=Y[p
栄える,さかえる,"to flourish, to prosper, to thrive",JLPT_1 JLPT,w`<;(n%DdJ
差額,さがく,"balance, difference, margin",JLPT_1 JLPT,gAXt@5CeYh
杯,さかずき,wine cup,JLPT_1 JLPT,QIw#3oSw.:
逆立ち,さかだち,"handstand, headstand",JLPT_1 JLPT,ec~&YKW}51
さきに (いぜん),さきに (いぜん),"before, earlier than, previously",JLPT_1 JLPT,uh`5:/)TWv
詐欺,さぎ,"fraud, swindle",JLPT_1 JLPT,w6]yB.g{E!
削減,さくげん,"cut, reduction",JLPT_1 JLPT,k7zRyZ_D=o
錯誤,さくご,mistake,JLPT_1 JLPT,IDfkC-Cw&L
作戦,さくせん,"military operations, tactics, strategy",JLPT_1 JLPT,s$Xs?1nQ+e
叫び,さけび,"shout, scream, outcry",JLPT_1 JLPT,nqYX]L]Y*r
捧げる,ささげる,"to lift up, to give, to offer",JLPT_1 JLPT,KhanDj}|vd
差し掛かる,さしかかる,"to come near to, to approach",JLPT_1 JLPT,IM%WW[zOZk
指図,さしず,"instruction, mandate",JLPT_1 JLPT,N1]Ah`4~bh
差し出す,さしだす,"to present, to submit, to hold out",JLPT_1 JLPT,A&xf;%;bo<
差し支える,さしつかえる,"to interfere, to hinder",JLPT_1 JLPT,ve>x:VMBVJ
授ける,さずける,"to grant, to award, to teach",JLPT_1 JLPT,h.+pAO9bEu
摩する,さする,"to rub, to stroke",JLPT_1 JLPT,yQu&Wz5|+#
さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),"I am sure, certainly, no doubt",JLPT_1 JLPT,FE`C@V&t[f
定まる,さだまる,"to become settled, to be fixed",JLPT_1 JLPT,"Ly=j.,,]V@"
定める,さだめる,"to decide, to determine",JLPT_1 JLPT,MNqx6`F)B2
座談会,ざだんかい,"symposium, round-table discussion",JLPT_1 JLPT,d!+{3%PNo}
雑,ざつ,"rough, crude",JLPT_1 JLPT,PqMu^a?1a^
雑貨,ざっか,"miscellaneous goods, general goods",JLPT_1 JLPT,r5VCxxHAy|
殺人,さつじん,murder,JLPT_1 JLPT,tM%DouVsND
察する,さっする,"to guess, to sense, to judge",JLPT_1 JLPT,LGG(>{BjoV
雑談,ざつだん,"chatting, idle talk",JLPT_1 JLPT,DK#>y3UE4B
さっと,さっと,"suddenly, smoothly",JLPT_1 JLPT,EKYb(VaO4Q
さっぱりする,さっぱりする,to refresh,JLPT_1 JLPT,H|ANTa=Wl{
悟る,さとる,"to attain enlightenment, to understand",JLPT_1 JLPT,v:Q4euCfA7
最中,さなか,"in the middle of, midst",JLPT_1 JLPT,A!j+&nF3Wn
座標,ざひょう,coordinates,JLPT_1 JLPT,B0L0!.A0?}
さほど,さほど,"not so, not that much",JLPT_1 JLPT,Eqh)/a:JaN
サボる,サボる,to cut (skip) classes; to loaf on the job; to idle away one's time,JLPT Genki_Ln.11 Intermediate_Japanese JLPT_1 Intermediate_Japanese_Ln.13 Genki,AVLvOaz~KF
様,さま,state; way (a person does something); Mr. or Mrs.,JLPT_1 JLPT Intermediate_Japanese Intermediate_Japanese_Ln.11,lj0_)hI7Ez
寒気,さむけ,"chill, shiver, cold",JLPT_1 JLPT,N#;$qw^KPE
侍,さむらい,samurai,JLPT_1 JLPT Intermediate_Japanese_Ln.7 Intermediate_Japanese,g}?p(/xug4
さも,さも,"with gusto, with satisfaction",JLPT_1 JLPT,Gm-[^5Ln&h
作用,さよう,"operation, effect, function",JLPT_1 JLPT,"Oof8u=,|uS"
さらう (こどもを～),さらう (こどもを～),to kidnap,JLPT_1 JLPT,B@RtBWjh/W
障る,さわる,"to hinder, to interfere with, to affect",JLPT_1 JLPT,Di(J(kaH;V
酸,さん,acid,JLPT_1 JLPT,k/LaLYL|r#
山岳,さんがく,mountains,JLPT_1 JLPT,nJs0S#DzgO
参議院,さんぎいん,House of Councilors,JLPT_1 JLPT,O7n.x?;S]&
産休,さんきゅう,maternity leave,JLPT_1 JLPT,k`Pzt}i$UW
サンキュー,サンキュー,thank you,JLPT_1 JLPT,rQ2myGNLp<
残金,ざんきん,remaining money,JLPT_1 JLPT,E</lr>b527
産後,さんご,"postpartum, after childbirth",JLPT_1 JLPT,"Pge/h!,u.x"
残酷,ざんこく,"cruelty, harshness",JLPT_1 JLPT,snLE.]5(UV
産出,さんしゅつ,"yield, produce",JLPT_1 JLPT,AItAE0vKn;
参照,さんしょう,"reference, consultation, consultation",JLPT_1 JLPT,Q=29PP)W-_
参上,さんじょう,"calling on, visiting",JLPT_1 JLPT,w#SP~u0yM;
残高,ざんだか,"(bank) balance, remainder",JLPT_1 JLPT,K4gXaj[Vyi
サンタクロース,サンタクロース,Santa Claus,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,f/QC`5/{Un
桟橋,さんばし,"wharf, jetty, pier",JLPT_1 JLPT,qY2!_v~;bZ
賛美,さんび,"praise, adoration, glorification",JLPT_1 JLPT,e.-RuHb{48
山腹,さんぷく,"hillside, mountainside",JLPT_1 JLPT,o2ZZ0`v<eS
産婦人科,さんふじんか,maternity and gynecology department,JLPT_1 JLPT,C-(.5yIOQP
産物,さんぶつ,"product, result, fruit",JLPT_1 JLPT,E~s#%JNaV$
山脈,さんみゃく,mountain range,JLPT_1 JLPT,x1O?:5^y|C
仕上がり,しあがり,"finish, end, completion",JLPT_1 JLPT,yea;?+baU4
仕上,しあげ,"end, finishing touches",JLPT_1 JLPT,oEx[)E@iYE
仕上げる,しあげる,"to finish up, to complete",JLPT_1 JLPT,hK4h`Zw:aS
飼育,しいく,"breeding, raising, rearing",JLPT_1 JLPT,e5/Z)LI]cr
強いて,しいて,"to dare, to insist",JLPT_1 JLPT,Bomwd0N#[6
シート,シート,seat; sheet,JLPT_1 JLPT,u]dm-2Z@p[
ジーパン,ジーパン,jeans,JLPT_1 JLPT,HXr(ew@{F#
仕入れる,しいれる,"to lay in stock, to replenish stock, to procure",JLPT_1 JLPT,IFIIG{$W)<
強いる,しいる,"to force, to compel, to coerce",JLPT_1 JLPT,mim3NgV!o^
潮,しお,tide,JLPT_1 JLPT,bk[V+Gm9:@
歯科,しか,dentistry,JLPT_1 JLPT,OAZ`Wrx_o9
自我,じが,"self, ego",JLPT_1 JLPT,b-m;dw=d{Y
自覚,じかく,self-conscious,JLPT_1 JLPT,i/]v!LT[`[
仕掛,しかけ,"device, trick, mechanism",JLPT_1 JLPT,Jsems8J4`^
仕掛ける,しかける,"to lay, to set, to wage",JLPT_1 JLPT,Ac40<_hm$3
しかしながら,しかしながら,"however, nevertheless",JLPT_1 JLPT,Hq^C6[L3R8
色彩,しきさい,color,JLPT_1 JLPT,G$Z8Bsx{4U
式場,しきじょう,"ceremonial hall, place of ceremony (e.g., marriage)",JLPT_1 JLPT,rHP.1FI!Xg
しきたり,しきたり,"custom, conventional practice, tradition",JLPT_1 JLPT,sw_]y<P?Kn
事業,じぎょう,"project, enterprise, business",JLPT_1 JLPT,A#sQ/bEEtj
軽蔑,けいべつ,"scorn, disdain",JLPT_1 JLPT,"lOS,!wvUe["
経歴,けいれき,"personal history, career",JLPT_1 JLPT,D*n(@DRyq`
経路,けいろ,"course, route, channel",JLPT_1 JLPT,AQ(D;C-S!0
けがらわしい,けがらわしい,"filthy, unfair",JLPT_1 JLPT,lJNQ&9#g@p
劇団,げきだん,"troupe, theatrical company",JLPT_1 JLPT,%y17:4{hj
激励,げきれい,encouragement,JLPT_1 JLPT,C6/gh1N08I
ゲスト,ゲスト,guest,JLPT_1 JLPT,lW>d7fCUoL
獣,けだもの,"beast, brute",JLPT_1 JLPT,"o.IW_<j!,1"
決,けつ,"decision, vote",JLPT_1 JLPT,h7W;[eV_6*
決意,けつい,"decision, determination",JLPT_1 JLPT,Gg{:k%<AT6
結核,けっかく,tuberculosis,JLPT_1 JLPT,dB99/5N;ta
決議,けつぎ,"resolution, vote, decision",JLPT_1 JLPT,tcKhTpRM%o
結合,けつごう,"combination, union",JLPT_1 JLPT,Q*@FzK(@81
決算,けっさん,"balance sheet, settlement of accounts",JLPT_1 JLPT,z2iqWC-nB~
月謝,げっしゃ,monthly tuition fee,JLPT_1 JLPT,t[*0i:*.#i
決勝,けっしょう,finals (in sports),JLPT_1 JLPT,NFjb:+3q7*
結晶,けっしょう,"crystal, crystallization",JLPT_1 JLPT,x*(Q^EE$u3
結成,けっせい,formation,JLPT_1 JLPT,c_%F>ZhYyr
結束,けっそく,"union, unity",JLPT_1 JLPT,JdP5@BTWkb
げっそり,げっそり,"being disheartened, losing weight",JLPT_1 JLPT,EtlnVvKbZd
決断,けつだん,"decision, determination",JLPT_1 JLPT,w;j;5-!>6(
月賦,げっぷ,monthly installment,JLPT_1 JLPT,I{X4ZTn7X9
欠乏,けつぼう,shortage,JLPT_1 JLPT,x8kzLzQh~#
蹴飛ばす,けとばす,"to kick away, to kick (someone)",JLPT_1 JLPT,b5){X3eg^W
けなす,けなす,to speak ill of,JLPT_1 JLPT,BA]o8V-nRc
煙たい,けむたい,"smoky, feeling awkward",JLPT_1 JLPT,M_8T~aeKk.
煙る,けむる,"to smoke (e.g., fire)",JLPT_1 JLPT,"O+^L$,-au7"
獣,けもの,"beast, brute",JLPT_1 JLPT,q-7J3|/7Vg
家来,けらい,"retainer, retinue, servant",JLPT_1 JLPT,n|b=[)XZ>2
下痢,げり,diarrhea,JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese,D94n#KX+u`
権威,けんい,"authority, power, influence",JLPT_1 JLPT,lZZG^l>c$z
兼業,けんぎょう,holding two jobs at the same time,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,x9DFE@YYzp
原形,げんけい,"original form, base form",JLPT_1 JLPT,"y2|y)U#`,-"
原型,げんけい,"prototype, model, archetypal",JLPT_1 JLPT,"d5x_w+I&U,"
権限,けんげん,"power, authority, jurisdiction",JLPT_1 JLPT,wsBe&qWS]u
現行,げんこう,"present, current, in operation",JLPT_1 JLPT,cB#>jxDt}]
健在,けんざい,"in good health, well",JLPT_1 JLPT,K?xI8~wHA>
原作,げんさく,original work,JLPT_1 JLPT,"K<e+,WSWtr"
検事,けんじ,public prosecutor,JLPT_1 JLPT,H[xn?@;-+x
原子,げんし,atom,JLPT_1 JLPT,"b[T}G,9]G?"
元首,げんしゅ,"ruler, sovereign",JLPT_1 JLPT,cJ-$.|^5r+
原書,げんしょ,original document,JLPT_1 JLPT,wBia;+PSDE
懸賞,けんしょう,"offering prizes, winning, reward",JLPT_1 JLPT,B7|NMN9B[B
健全,けんぜん,"health, soundness, wholesome",JLPT_1 JLPT,u-bm~%/EH(
元素,げんそ,element,JLPT_1 JLPT,B2tvGhK[&9
同調,どうちょう,"sympathy, agree with, alignment",JLPT_1 JLPT,n#0+>4}sN5
到底,とうてい,(cannot) possibly,JLPT_1 JLPT,C.#O<.PWZ+
動的,どうてき,"dynamic, kinetic",JLPT_1 JLPT,k^9j&Q>>|N
尊い,とうとい,"precious, valuable, noble",JLPT_1 JLPT,o/:X}@s/ud
貴い,とうとい,"precious, valuable, noble",JLPT_1 JLPT,uE?!53}hB@
同等,どうとう,"equality, equal, same rank",JLPT_1 JLPT,sS(wNIrQN<
堂々,どうどう,"magnificent, grand, impressive",JLPT_1 JLPT,O@p/U*&n{h
尊ぶ,とうとぶ,"to value, to prize, to esteem",JLPT_1 JLPT,NH2!B2Yh2E
どうにか,どうにか,"in some way or other, one way or another",JLPT_1 JLPT,l_xfmqX[ub
投入,とうにゅう,"throw, investment, making (an electrical circuit)",JLPT_1 JLPT,mwsjMMb<d>
導入,どうにゅう,"introduction, bringing in, leading in",JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese,m1+j$HqcF;
当人,とうにん,"the one concerned, the said person",JLPT_1 JLPT,l]4=/bCF3a
同封,どうふう,"enclosure (e.g., in a letter)",JLPT_1 JLPT,hnY+6g21h_
逃亡,とうぼう,escape,JLPT_1 JLPT,qqqC#4{p[V
冬眠,とうみん,"hibernation, winter sleep",JLPT_1 JLPT,"B+T>Lb-B&,"
同盟,どうめい,"alliance, union, league",JLPT_1 JLPT,oBig^AFvC5
どうやら,どうやら,"it seems like, somehow or other",JLPT_1 JLPT,LZH$.!k~sm
動力,どうりょく,"power, motive power, dynamic force",JLPT_1 JLPT,gcbdGzw%jw
登録,とうろく,"registration, register, record",JLPT_1 JLPT,w(]v<(of^0
討論,とうろん,discussion; debate,JLPT_1 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese,ft/}AOp*ZE
遠ざかる,とおざかる,to go far off,JLPT_1 JLPT,nANBsXm^[4
遠回り,とおまわり,"detour, roundabout way",JLPT_1 JLPT,u;(Y+10j3P
トーン,トーン,tone,JLPT_1 JLPT,O1)Y~lZnk@
とかく,とかく,"anyhow, anyway, in any case",JLPT_1 JLPT,Jhr>yBj`X[
とがめる,とがめる,"to blame, to rebuke",JLPT_1 JLPT,tCyhd<KEBb
時折,ときおり,sometimes,JLPT_1 JLPT,cBC8l)@|Bd
とぎれる,とぎれる,"to pause, to be interrupted",JLPT_1 JLPT,M`gmYE]A0;
研ぐ,とぐ,"to sharpen, to grind, to polish",JLPT_1 JLPT,lUJgFysD==
特技,とくぎ,special talent; skill,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,"iyF,MXDXX4"
独裁,どくさい,"dictatorship, despotism",JLPT_1 JLPT,"c+G[A,i*M0"
特産,とくさん,"specialty, special product",JLPT_1 JLPT,Cyr8}5s:<j
独自,どくじ,"original, peculiar, characteristic",JLPT_1 JLPT,iCBdeKS#GI
